Player,composite,avgFinish,top5%,top10%,top20%,cutProb%,yearsOfData,yearsPlayed
Scottie Scheffler,3.928328368300004,3.2,88.5,95.3,98.5,99.5,5,5.0
Rory McIlroy,3.4519791561476305,5.2,78.3,89.8,96.2,98.9,5,5.0
Collin Morikawa,1.9413340972885027,21.0,28.8,47.9,68.7,91.4,5,5.0
Haotong Li,1.4788630878167732,29.5,16.4,31.9,53.2,86.0,1,
Si Woo Kim,1.346183413987683,30.8,13.9,28.4,49.1,84.3,5,5.0
Shane Lowry,1.1823040986590374,31.3,10.9,23.5,43.3,81.5,5,5.0
Xander Schauffele,1.1929153120227314,33.8,10.9,23.7,43.5,81.5,5,5.0
Tommy Fleetwood,1.2934745679157844,33.9,12.8,26.4,46.9,83.3,5,5.0
Russell Henley,1.3501857944635736,33.9,13.8,28.2,49.2,84.2,5,5.0
Hideki Matsuyama,1.3380597515117307,34.6,13.7,28.0,48.7,83.9,5,5.0
Akshay Bhatia,1.3269382569860801,36.4,13.5,27.5,47.9,83.9,4,5.0
Patrick Cantlay,0.9798140729825207,37.2,8.1,18.6,36.6,78.1,5,5.0
Ludvig Åberg,0.7711206298230237,38.5,5.6,13.8,29.6,74.0,4,5.0
Viktor Hovland,0.9692747694628838,39.0,7.7,18.1,36.0,77.6,5,5.0
Nicolai Højgaard,0.8581706557079057,39.3,6.7,15.8,32.4,75.5,3,5.0
J.J. Spaun,1.0435160034046789,40.8,8.8,20.1,38.6,78.9,5,5.0
Kurt Kitayama,1.041335805857943,40.8,8.7,19.8,38.5,79.1,5,5.0
Austin Smotherman,0.599884961878084,41.8,4.2,11.0,24.9,70.2,4,
Johnny Keefer,0.522614060730522,42.7,3.5,9.8,22.8,68.7,1,
Sudarshan Yellamaraju,0.4288351737295379,43.1,3.0,8.5,20.5,66.6,1,
Corey Conners,0.48729490321309804,43.3,3.4,9.2,21.9,67.8,5,5.0
Robert MacIntyre,0.7434274451391133,43.8,5.3,13.4,28.9,73.5,3,5.0
Maverick McNealy,0.43960827785745266,44.0,3.0,8.3,20.3,66.7,5,5.0
Alex Noren,0.6517039641945287,44.2,4.6,12.0,26.5,71.3,4,
Chris Gotterup,0.5525714905133771,44.5,3.7,10.1,23.5,69.1,3,5.0
Mac Meissner,0.4720201316709325,45.7,3.2,9.1,21.6,67.4,3,5.0
Kevin Roy,0.24483512269429078,46.5,2.2,6.2,16.1,62.2,3,5.0
